Name,mainCategories,subCategory1,subCategory2,subCategory3,subCategory4
Lizzy,['4th graders'],4th graders,,,
Substitute Teacher,"['school faculty', 'unnamed characters']",school faculty,unnamed characters,,
Gobbles,['animals'],animals,,,
John Travolta,['celebrities'],celebrities,,,
KIT-9,['animals'],animals,,,
John Elway,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Ms. Herman,['uncategorized'],uncategorized,,,
South Park Express Conductor,['unnamed characters'],unnamed characters,,,
Tricia Tucker,['uncategorized'],uncategorized,,,
Jim Bob,['uncategorized'],uncategorized,,,
Lil' Qties Blonde Girl,['unnamed characters'],unnamed characters,,,
LeBron James,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Pi-Pi,['uncategorized'],uncategorized,,,
Wolf Blitzer,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Benny,['uncategorized'],uncategorized,,,
Buddha,['religious figures'],religious figures,,,
Bart Simpson,['crossover characters'],crossover characters,,,
Mark Fuhrman,['celebrities'],celebrities,,,
Moses,['religious figures'],religious figures,,,
Sarah Valmer,['uncategorized'],uncategorized,,,
Gregory,['4th graders'],4th graders,,,
Scott (Clubhouses),['uncategorized'],uncategorized,,,
Oprah Winfrey,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Yentl Cartman,['uncategorized'],uncategorized,,,
Cupid Me,['uncategorized'],uncategorized,,,
9th Grader with Purple Shirt,['unnamed characters'],unnamed characters,,,
Jeff Arrando,['uncategorized'],uncategorized,,,
Karate Instructor,['uncategorized'],uncategorized,,,
Dr. Phil,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Mark Zuckerberg,"['celebrities', 'business celebrities']",celebrities,business celebrities,,
Marty,['uncategorized'],uncategorized,,,
Swallow,['animals'],animals,,,
Elderly Woman with Blue-Gray Blouse,['unnamed characters'],unnamed characters,,,
Will Barton,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Michael Collins,['uncategorized'],uncategorized,,,
Paul McDonahue,['uncategorized'],uncategorized,,,
Red Harris,['uncategorized'],uncategorized,,,
Bono's Butler,['uncategorized'],uncategorized,,,
Teenager Boy with Blue Jacket,['unnamed characters'],unnamed characters,,,
Anchorman,['uncategorized'],uncategorized,,,
Ms. Stevens,['uncategorized'],uncategorized,,,
The 9th Graders,['uncategorized'],uncategorized,,,
Nick Jabs,['uncategorized'],uncategorized,,,
Tugger,['uncategorized'],uncategorized,,,
Clark,['uncategorized'],uncategorized,,,
Yukio Hatoyama,['political celebrities'],political celebrities,,,
Jared Fogle,['criminal celebrities'],criminal celebrities,,,
Kelly Ripa,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Mitch Murphy,['uncategorized'],uncategorized,,,
Jerry Jones,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Chet,['uncategorized'],uncategorized,,,
Linda Triscotti,['4th graders'],4th graders,,,
Midget Wearing a Bikini,['unnamed characters'],unnamed characters,,,
James Harden,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Mrs. Anderson,['unnamed characters'],unnamed characters,,,
Kindergartners,['kindergartners'],kindergartners,,,
Teenager Boy with Scuzzlebutt Shirt,['unnamed characters'],unnamed characters,,,
Tom Brady Publicist,['unnamed characters'],unnamed characters,,,
Isla,['4th graders'],4th graders,,,
Adolf Hitler,"['political celebrities', 'historical celebrities', 'celebrities', 'criminal celebrities']",political celebrities,historical celebrities,celebrities,criminal celebrities
Janet Spears,['uncategorized'],uncategorized,,,
Pat Sajak,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Van Gelder,['uncategorized'],uncategorized,,,
Black Panther,['crossover characters'],crossover characters,,,
Kobe Bryant,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Boy with Blond Hair and Blue Shirt,['4th graders'],4th graders,,,
Mr. Nelson (Goobacks),['uncategorized'],uncategorized,,,
Bobby Flay,['celebrities'],celebrities,,,
Scary Assistant,['uncategorized'],uncategorized,,,
Russell Crowe,['celebrities'],celebrities,,,
Laughing Baby,['internet celebrities'],internet celebrities,,,
William Shatner,['celebrities'],celebrities,,,
Duke of Vancouver,['unnamed characters'],unnamed characters,,,
Hannah Williams,['uncategorized'],uncategorized,,,
Mall Manager,['unnamed characters'],unnamed characters,,,
Mrs. Stevens,['unnamed characters'],unnamed characters,,,
Nancy,['4th graders'],4th graders,,,
Princess Kenny,['uncategorized'],uncategorized,,,
Michael (Zipline Guide),['uncategorized'],uncategorized,,,
Blanket Jackson,['uncategorized'],uncategorized,,,
Jennifer Love Hewitt,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Jimmie Johnson,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
James Cameron,['celebrities'],celebrities,,,
Mr. Adams,['unnamed characters'],unnamed characters,,,
Captain Taylor and Captain Gabriel,['uncategorized'],uncategorized,,,
Sid Greenfield,['uncategorized'],uncategorized,,,
Silvio Berlusconi,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
George Washington,"['political celebrities', 'historical celebrities', 'celebrities']",political celebrities,historical celebrities,celebrities,
United States Border Patrol,['uncategorized'],uncategorized,,,
Dr. Alphonse Mephesto,['uncategorized'],uncategorized,,,
Kelly (Rainforest Schmainforest),['4th graders'],4th graders,,,
Handicapped Girl with Light Brown Hair,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Tommy (Medicinal Fried Chicken),['uncategorized'],uncategorized,,,
Stu,['uncategorized'],uncategorized,,,
Giant Douche,['uncategorized'],uncategorized,,,
Richard Stamos,['fictional celebrities'],fictional celebrities,,,
Mr. Needlebaum,['uncategorized'],uncategorized,,,
Alien Guard,['aliens'],aliens,,,
Steve Irwin,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Elmer Fudd,"['crossover characters', '4th graders', 'unnamed characters']",crossover characters,4th graders,unnamed characters,
Prostitution Customer,['unnamed characters'],unnamed characters,,,
Marcus,['uncategorized'],uncategorized,,,
Kindergartner with Cyan Hood,"['unnamed characters', 'kindergartners']",unnamed characters,kindergartners,,
Francis Ford Coppola,['celebrities'],celebrities,,,
Al Roker,['television celebrities'],television celebrities,,,
Daniel (T.M.I.),['uncategorized'],uncategorized,,,
New York Girl,['unnamed characters'],unnamed characters,,,
Man with Blond Hair and Gray Shirt,['unnamed characters'],unnamed characters,,,
Charlotte's Brother,['unnamed characters'],unnamed characters,,,
Kelly Morris,['4th graders'],4th graders,,,
Gary Harrison,['4th graders'],4th graders,,,
Angela Merkel,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Candice,['uncategorized'],uncategorized,,,
Canadian Minister of Mobile Gaming,"['unnamed characters', 'monsters']",unnamed characters,monsters,,
Sarah Peterson,['kindergartners'],kindergartners,,,
Anthony Webster,['internet trolls'],internet trolls,,,
Ellen Malkinson,['uncategorized'],uncategorized,,,
Dr. Pal,['uncategorized'],uncategorized,,,
Kylo Ren,['crossover characters'],crossover characters,,,
Linda Cotner,['uncategorized'],uncategorized,,,
Miles,['uncategorized'],uncategorized,,,
Natasha Richardson,['celebrities'],celebrities,,,
Young Hippie,['unnamed characters'],unnamed characters,,,
Mr. Davis,['unnamed characters'],unnamed characters,,,
Josh Carter,['uncategorized'],uncategorized,,,
Village Inn Waitress,['uncategorized'],uncategorized,,,
Chaos Hamsters,['animals'],animals,,,
Tommy's Girlfriend,['unnamed characters'],unnamed characters,,,
Keshawn,['uncategorized'],uncategorized,,,
Roger Goodell,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
John McCain,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Tom Nelson,['uncategorized'],uncategorized,,,
Mills Lane,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Ryan (Taming Strange),['kindergartners'],kindergartners,,,
Smurfs,"['crossover characters', 'monsters']",crossover characters,monsters,,
John Wayne Gacy,"['celebrities', 'criminal celebrities']",celebrities,criminal celebrities,,
Katherine and Katie Queef,['fictional celebrities'],fictional celebrities,,,
Frida,['uncategorized'],uncategorized,,,
Bob White,['uncategorized'],uncategorized,,,
Kelly P. Gardner,['4th graders'],4th graders,,,
Veronica Crabtree,['uncategorized'],uncategorized,,,
Recess Supervisor,"['school faculty', 'unnamed characters']",school faculty,unnamed characters,,
Haman,['religious figures'],religious figures,,,
Gene Siskel,['celebrities'],celebrities,,,
Stormy Weathers,['uncategorized'],uncategorized,,,
Saint Joseph,['religious figures'],religious figures,,,
Katie Gelson,['4th graders'],4th graders,,,
Kurt Cobain Hologram,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Dr. Tristan Adams,['uncategorized'],uncategorized,,,
Thomas Jefferson,"['historical celebrities', 'celebrities']",historical celebrities,celebrities,,
Agent Connelly,['uncategorized'],uncategorized,,,
Cartman's Sister (Unaired Pilot),['unnamed characters'],unnamed characters,,,
Mrs. Feegan,['uncategorized'],uncategorized,,,
Council of Nine,['crossover characters'],crossover characters,,,
Officer Bright,['uncategorized'],uncategorized,,,
Derek Smalls,['uncategorized'],uncategorized,,,
Cosette,['4th graders'],4th graders,,,
Liza Nelson,['4th graders'],4th graders,,,
Christine Jonez,['uncategorized'],uncategorized,,,
Bebe Stevens,['4th graders'],4th graders,,,
HBC Producer,['uncategorized'],uncategorized,,,
Mr. Harris,"['school faculty', 'unnamed characters']",school faculty,unnamed characters,,
Estella Havisham,['uncategorized'],uncategorized,,,
Pedophile Interviewee,['uncategorized'],uncategorized,,,
Edgar Allan Poe,"['historical celebrities', 'celebrities']",historical celebrities,celebrities,,
Suzanne Somers,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Star Wars Kid,['internet celebrities'],internet celebrities,,,
Prince and Princess of Canada,"['fictional celebrities', 'unnamed characters']",fictional celebrities,unnamed characters,,
Thomas' Mother,['unnamed characters'],unnamed characters,,,
Patty Hamill,['uncategorized'],uncategorized,,,
Gordon Stoltski,['uncategorized'],uncategorized,,,
Morticians,['uncategorized'],uncategorized,,,
Bobby Palmer,['uncategorized'],uncategorized,,,
Tom Shane,"['celebrities', 'business celebrities']",celebrities,business celebrities,,
Dr. Chinstrap,['uncategorized'],uncategorized,,,
Nanny Skexis,"['crossover characters', 'monsters']",crossover characters,monsters,,
Randy Newman,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Unnamed Brown-Haired Boy,['unnamed characters'],unnamed characters,,,
David Hasselhoff,['celebrities'],celebrities,,,
Jim Davis High School Students,['uncategorized'],uncategorized,,,
Smoking Boys,['unnamed characters'],unnamed characters,,,
Aaron Hagen,['uncategorized'],uncategorized,,,
Pat Robertson,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Laura Jones,['uncategorized'],uncategorized,,,
Tupac Shakur Hologram,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Jay Leno,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Gordon Brown,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Matthew McConaughey,['celebrities'],celebrities,,,
P.F. Pityef,['uncategorized'],uncategorized,,,
Billy Bob Thornton,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Baby Cows,['animals'],animals,,,
Gerald Broflovski,['internet trolls'],internet trolls,,,
Rosemary,['uncategorized'],uncategorized,,,
Charlie Sheen,['celebrities'],celebrities,,,
David Blaine,"['religious figures', 'television celebrities']",religious figures,television celebrities,,
Topher,['uncategorized'],uncategorized,,,
Citizen with Blond Hair and Blue Shirt,['unnamed characters'],unnamed characters,,,
Jason Bell,['uncategorized'],uncategorized,,,
Aunt Jemima,['crossover characters'],crossover characters,,,
Tooth Decay,['monsters'],monsters,,,
Flo Kimble,['uncategorized'],uncategorized,,,
Robby,['animals'],animals,,,
Scott Malkinson,['4th graders'],4th graders,,,
Robin Williams Hologram,['celebrities'],celebrities,,,
Kevin (Summer Sucks),['4th graders'],4th graders,,,
Girl with Pink Coat,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Mark Cotswolds,['4th graders'],4th graders,,,
Samaritans,['uncategorized'],uncategorized,,,
John Wilkes Booth,"['historical celebrities', 'criminal celebrities']",historical celebrities,criminal celebrities,,
Mrs. White,['unnamed characters'],unnamed characters,,,
Catatafish,['animals'],animals,,,
Phillip's Replacement,['unnamed characters'],unnamed characters,,,
Muscleman Marc,['uncategorized'],uncategorized,,,
Alinicia,['animals'],animals,,,
Nazi Zombie Cows,['animals'],animals,,,
Louis Handler,['4th graders'],4th graders,,,
Magic Johnson,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Maury Povich,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Tim Burton,['celebrities'],celebrities,,,
Storehand,['unnamed characters'],unnamed characters,,,
Najix,['aliens'],aliens,,,
Ben (Blizzard Staff),['uncategorized'],uncategorized,,,
Martin Harris,"['historical celebrities', 'celebrities', 'religious figures']",historical celebrities,celebrities,religious figures,
Chef Aid Host,['unnamed characters'],unnamed characters,,,
Washcloth,['uncategorized'],uncategorized,,,
Old Cap,['uncategorized'],uncategorized,,,
Ricardo Montalban,['celebrities'],celebrities,,,
Steve (Canadian),['uncategorized'],uncategorized,,,
French Canadian Mime,['uncategorized'],uncategorized,,,
George R. R. Martin,['uncategorized'],uncategorized,,,
Ambassador of Humans,['uncategorized'],uncategorized,,,
Miss Havisham,['uncategorized'],uncategorized,,,
Nut Gobbler,['unnamed characters'],unnamed characters,,,
Elise Garrett,['uncategorized'],uncategorized,,,
Black-Haired Scientist,['unnamed characters'],unnamed characters,,,
Mrs. Handler,['unnamed characters'],unnamed characters,,,
Conner Davis,['kindergartners'],kindergartners,,,
Roy,['uncategorized'],uncategorized,,,
Chief Stevens,['uncategorized'],uncategorized,,,
Nobunaga Hiroichi,['uncategorized'],uncategorized,,,
Moisha Cartman,['uncategorized'],uncategorized,,,
Mr. Stevenson,['unnamed characters'],unnamed characters,,,
Peter Pan,['crossover characters'],crossover characters,,,
Orlich,['uncategorized'],uncategorized,,,
Marty (Chef's Chocolate Salty Balls),['uncategorized'],uncategorized,,,
Sister Hollis,['unnamed characters'],unnamed characters,,,
Chris Swollenballs,['uncategorized'],uncategorized,,,
Pope John Paul II,"['religious figures', 'celebrities']",religious figures,celebrities,,
"Diana, Princess of Wales","['political celebrities', 'celebrities']",political celebrities,celebrities,,
Amir,['uncategorized'],uncategorized,,,
Blonde-Haired Girl (Erection Day),['unnamed characters'],unnamed characters,,,
General Revaur,['uncategorized'],uncategorized,,,
Amanda Harrison,['uncategorized'],uncategorized,,,
Boy with Brown Hair,['unnamed characters'],unnamed characters,,,
Bob Denver,['celebrities'],celebrities,,,
Jimmy Valmer,['4th graders'],4th graders,,,
Dildo Shwaggins,['internet trolls'],internet trolls,,,
Lil' Kim,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Peter Griffin,['crossover characters'],crossover characters,,,
Tom Hanks,['celebrities'],celebrities,,,
Kellyanne Conway,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Archangel Michael,['religious figures'],religious figures,,,
Bill Keegan,['uncategorized'],uncategorized,,,
Chinese Family,['unnamed characters'],unnamed characters,,,
George Lucas,"['celebrities', 'criminal celebrities', 'business celebrities']",celebrities,criminal celebrities,business celebrities,
Air Israel Handler,['uncategorized'],uncategorized,,,
Crystal White,['kindergartners'],kindergartners,,,
Johnny Knoxville,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Kurt Fuller,['celebrities'],celebrities,,,
Lonelygirl15,"['internet celebrities', 'celebrities']",internet celebrities,celebrities,,
Mr. Conners,['uncategorized'],uncategorized,,,
Kid Rock,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
New York Boy with Red Outfit,['unnamed characters'],unnamed characters,,,
Lester Holt,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Chris Peterson,['uncategorized'],uncategorized,,,
John Walsh,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Hardly Boys,['celebrities'],celebrities,,,
Mintberry Crunch,['aliens'],aliens,,,
Michael Jackson,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Bob Summers,['uncategorized'],uncategorized,,,
Scrambles (Major Boobage),['animals'],animals,,,
Benjamin Franklin,"['historical celebrities', 'celebrities']",historical celebrities,celebrities,,
Florence Cartman,['uncategorized'],uncategorized,,,
Jack Sparrow,['crossover characters'],crossover characters,,,
Peter Thiel,['celebrities'],celebrities,,,
United States Coast Guard,['uncategorized'],uncategorized,,,
VH1 Anchor,['uncategorized'],uncategorized,,,
Nick Donovan,['uncategorized'],uncategorized,,,
Rita Struthers,['uncategorized'],uncategorized,,,
Teenage Hippies,['unnamed characters'],unnamed characters,,,
Alexa,['uncategorized'],uncategorized,,,
Dr. Cornwallis,['animals'],animals,,,
Man with Gray Hood,['unnamed characters'],unnamed characters,,,
Nichole Daniels,['4th graders'],4th graders,,,
Santa Claus,['crossover characters'],crossover characters,,,
Ben Affleck,['celebrities'],celebrities,,,
Fred Savage,['celebrities'],celebrities,,,
Inuit,['uncategorized'],uncategorized,,,
General Davis,['uncategorized'],uncategorized,,,
Charlotte,['4th graders'],4th graders,,,
Doctor Lindsay,['uncategorized'],uncategorized,,,
Douchebag,['4th graders'],4th graders,,,
Terry,['uncategorized'],uncategorized,,,
Charlotte's Mother,['unnamed characters'],unnamed characters,,,
Russell Brand,['celebrities'],celebrities,,,
Cthulhu Cult Leader,['unnamed characters'],unnamed characters,,,
Ashley,['4th graders'],4th graders,,,
Bill Gates,['business celebrities'],business celebrities,,,
Natsako Semu,['uncategorized'],uncategorized,,,
Jeffrey Maynard,['uncategorized'],uncategorized,,,
Ted Turner,"['celebrities', 'business celebrities']",celebrities,business celebrities,,
Mitt Romney,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Gino,['uncategorized'],uncategorized,,,
Budd Stotch,['uncategorized'],uncategorized,,,
Cartman's Unnamed Relatives,['unnamed characters'],unnamed characters,,,
Coyote Brown,['uncategorized'],uncategorized,,,
Harley Riders,['uncategorized'],uncategorized,,,
Thumper,['uncategorized'],uncategorized,,,
John Adams,"['political celebrities', 'historical celebrities', 'celebrities']",political celebrities,historical celebrities,celebrities,
Alana Thompson,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Barney,['animals'],animals,,,
Butters Stotch,['4th graders'],4th graders,,,
Elin Nordegren,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
William P. Phineas,['uncategorized'],uncategorized,,,
Billy Miller,['uncategorized'],uncategorized,,,
Leslie (Prehistoric Ice Man),['uncategorized'],uncategorized,,,
Brad,['uncategorized'],uncategorized,,,
Ghost Hunters,"['crossover characters', 'television celebrities', 'celebrities']",crossover characters,television celebrities,celebrities,
Johnnie Cochran,['celebrities'],celebrities,,,
Wonder Woman,['crossover characters'],crossover characters,,,
Buck,['uncategorized'],uncategorized,,,
Jeffy,['animals'],animals,,,
Ryan Valmer,['uncategorized'],uncategorized,,,
Tommy Fritz,['uncategorized'],uncategorized,,,
Romanian Father,['uncategorized'],uncategorized,,,
Iron Man,['crossover characters'],crossover characters,,,
Foreman,['unnamed characters'],unnamed characters,,,
Jacob Hallery,['uncategorized'],uncategorized,,,
Dennis (Night of the Living Homeless),['uncategorized'],uncategorized,,,
Jason White,['4th graders'],4th graders,,,
Chief Scientist,['unnamed characters'],unnamed characters,,,
Gary Coleman,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Tony Hayward,"['celebrities', 'business celebrities']",celebrities,business celebrities,,
Mickey Mouse,"['crossover characters', 'celebrities', 'animals', 'monsters']",crossover characters,celebrities,animals,monsters
Mr. T,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Kyle Schwartz,['uncategorized'],uncategorized,,,
Bobby,['uncategorized'],uncategorized,,,
Sia,['uncategorized'],uncategorized,,,
Patrick Duffy,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Mao Zedong,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Dr. Spookalot,['uncategorized'],uncategorized,,,
Kenny's Cat,['animals'],animals,,,
Scott Evans,['uncategorized'],uncategorized,,,
Hansen,['uncategorized'],uncategorized,,,
Jack Farlis,['uncategorized'],uncategorized,,,
Farmer Carl Denkins,['uncategorized'],uncategorized,,,
Brad Morgan,['uncategorized'],uncategorized,,,
Money Quest Hosts,['uncategorized'],uncategorized,,,
Rod Stewart,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Mike,['4th graders'],4th graders,,,
Matt Lauer,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Red McArthur,['4th graders'],4th graders,,,
John and Patricia Ramsey,"['celebrities', 'criminal celebrities']",celebrities,criminal celebrities,,
Human Beaky Buzzard,"['crossover characters', '4th graders', 'unnamed characters']",crossover characters,4th graders,unnamed characters,
Jack Garrett,['uncategorized'],uncategorized,,,
Sheriff McLawdog,['uncategorized'],uncategorized,,,
Damla Jones,['uncategorized'],uncategorized,,,
Mitchell (Cartoon Wars Part II),['uncategorized'],uncategorized,,,
Iranian News Reporter,['uncategorized'],uncategorized,,,
Wise Man,['uncategorized'],uncategorized,,,
Boy with Blond Hair,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Tiny Alien,['aliens'],aliens,,,
Celine Dion,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Dr. Land,['uncategorized'],uncategorized,,,
Davin Miller,['4th graders'],4th graders,,,
Birthday Party Parents,['unnamed characters'],unnamed characters,,,
Tony Danza,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Mr. Sanders,['unnamed characters'],unnamed characters,,,
Harold Cartman,['uncategorized'],uncategorized,,,
Jerry Sanders,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Walter Cronkite,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Mark McGwire,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Legion of Doom,['uncategorized'],uncategorized,,,
Theresa,['4th graders'],4th graders,,,
Possessed Stan Marsh,['uncategorized'],uncategorized,,,
Popeye,['crossover characters'],crossover characters,,,
Sgt. Snetzl,['uncategorized'],uncategorized,,,
Patrick Swayze,['celebrities'],celebrities,,,
Sophie Gray,['4th graders'],4th graders,,,
Obese Woman Shopper,['unnamed characters'],unnamed characters,,,
Alex Glick,['uncategorized'],uncategorized,,,
Officer Barbrady,['uncategorized'],uncategorized,,,
Paul Watson,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Jason Giambi,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Supply Max Clerk,['uncategorized'],uncategorized,,,
Mr. Service,['uncategorized'],uncategorized,,,
Mr. Peters,"['celebrities', 'business celebrities']",celebrities,business celebrities,,
Ryan (Faith Hilling),['uncategorized'],uncategorized,,,
John Hancock,"['historical celebrities', 'celebrities']",historical celebrities,celebrities,,
Patty (Tom's Rhinoplasty),['uncategorized'],uncategorized,,,
200 Pregnant Mexican Women,['unnamed characters'],unnamed characters,,,
Shub-Niggurath,"['crossover characters', 'aliens']",crossover characters,aliens,,
Alien Pilots,['aliens'],aliens,,,
Mrs. Knitts,['unnamed characters'],unnamed characters,,,
Mr. Twig,['unnamed characters'],unnamed characters,,,
Shari Lewis,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Mr. and Mrs. Triscotti,['uncategorized'],uncategorized,,,
Stacy Muleburg,['uncategorized'],uncategorized,,,
Teenager Boy with Blue Bandana,['unnamed characters'],unnamed characters,,,
Guy Fieri,['celebrities'],celebrities,,,
Larry Zewiski,['4th graders'],4th graders,,,
Mr. and Mrs. Whipple,['uncategorized'],uncategorized,,,
Mr. Streibel,['uncategorized'],uncategorized,,,
Michael Douglas,['celebrities'],celebrities,,,
Carrot Top,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Mabel Cartman,['uncategorized'],uncategorized,,,
Nicolas Sarkozy,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Tall Handicapped Boy with Blond Hair,['unnamed characters'],unnamed characters,,,
Agent Tucker,['uncategorized'],uncategorized,,,
Zazul,['uncategorized'],uncategorized,,,
Henrietta Biggle,['4th graders'],4th graders,,,
Detective Jarvis,['uncategorized'],uncategorized,,,
Suzette,['uncategorized'],uncategorized,,,
Henry Winkler,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Ann Curry,['television celebrities'],television celebrities,,,
Pangolin,['animals'],animals,,,
Jada Pinkett Smith,['celebrities'],celebrities,,,
Goat People,"['animals', 'aliens']",animals,aliens,,
Eliot Spitzer,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Kevin Mephesto,['uncategorized'],uncategorized,,,
Taylor Swift,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Mr. McArthur,['uncategorized'],uncategorized,,,
Museum of Tolerance Guide,['unnamed characters'],unnamed characters,,,
Snooki,"['television celebrities', 'celebrities', 'monsters']",television celebrities,celebrities,monsters,
Pope Francis,"['religious figures', 'celebrities']",religious figures,celebrities,,
Stephen Tamill's Friends,['unnamed characters'],unnamed characters,,,
Mrs. Hakeem,['uncategorized'],uncategorized,,,
Two Farmers,['unnamed characters'],unnamed characters,,,
"Mary, Mother of Jesus",['religious figures'],religious figures,,,
Boy with Dark Green Shirt and Glasses,['unnamed characters'],unnamed characters,,,
Kenny McCormick,['4th graders'],4th graders,,,
The 6th Graders,['uncategorized'],uncategorized,,,
Michael Wilbon,['celebrities'],celebrities,,,
Fluffy,['animals'],animals,,,
Jenny (Kindergartner),['kindergartners'],kindergartners,,,
Manuelo Furnanda,['uncategorized'],uncategorized,,,
Peter (Chef's Chocolate Salty Balls),['uncategorized'],uncategorized,,,
Peter Mullen,['4th graders'],4th graders,,,
Uncle Stinky,['uncategorized'],uncategorized,,,
Mrs. Farnickle,['uncategorized'],uncategorized,,,
Sister Anne,['uncategorized'],uncategorized,,,
Milo,['uncategorized'],uncategorized,,,
Luke Covina,['4th graders'],4th graders,,,
Federal Bureau of Investigation,['uncategorized'],uncategorized,,,
Duck President,['animals'],animals,,,
Isayah Zordon,['4th graders'],4th graders,,,
Dr. Matlock,['uncategorized'],uncategorized,,,
Dale Earnhardt Jr.,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Jeff White,['uncategorized'],uncategorized,,,
Neve Campbell,['celebrities'],celebrities,,,
Kevin James,['celebrities'],celebrities,,,
Christina Nylon,['uncategorized'],uncategorized,,,
Vladimir Stolfsky,['uncategorized'],uncategorized,,,
Sharon Marsh,['uncategorized'],uncategorized,,,
Glinda the Good Witch,['crossover characters'],crossover characters,,,
Samantha Dunskin,['uncategorized'],uncategorized,,,
Jimbo Kern,['uncategorized'],uncategorized,,,
Adam Sandler,['celebrities'],celebrities,,,
Bishop of Banff,"['religious figures', 'unnamed characters']",religious figures,unnamed characters,,
Busy Beaver Truck Driver,['unnamed characters'],unnamed characters,,,
Mr. Gueermo,['unnamed characters'],unnamed characters,,,
Genie,['crossover characters'],crossover characters,,,
Jamie Oliver,['celebrities'],celebrities,,,
Charles Kincade,['fictional celebrities'],fictional celebrities,,,
Ted,['uncategorized'],uncategorized,,,
Cock Magic Promoter,['uncategorized'],uncategorized,,,
Don King,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Tucker Rae,['uncategorized'],uncategorized,,,
Alec Baldwin,['celebrities'],celebrities,,,
Howard Cartman,['uncategorized'],uncategorized,,,
Hillary Clinton,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Hopkins,['uncategorized'],uncategorized,,,
Michael Moore,['political celebrities'],political celebrities,,,
Classi,['uncategorized'],uncategorized,,,
Canadian Reporter,['uncategorized'],uncategorized,,,
Tony (Cartman Joins NAMBLA),['uncategorized'],uncategorized,,,
Mrs. Testaburger,['uncategorized'],uncategorized,,,
Janson,['uncategorized'],uncategorized,,,
Quadriplegic Swiss Man on a Pony,['unnamed characters'],unnamed characters,,,
Beth (Dawg's Bitch),['uncategorized'],uncategorized,,,
