,Title,Air Date,Code,#,Descriptions,Cast,Season
102,Red Man's Greed,"April 30, 2003",707,103,The town is taken over by Native Americans who want to create a highway.,"['Butters Stotch', 'Principal Victoria', 'Stan Marsh', 'Stephen Stotch', 'Mr. Slave', 'Premise Running Thin', 'Herbert Garrison', 'Wise Man', 'Mayor McDaniels', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Mackey', 'Kenny McCormick', 'Jimbo Kern', 'Sharon Marsh', 'Gerald Broflovski', 'Chief Runs With Premise', 'Sheila Broflovski', 'Alex Glick', 'Tweek Tweak']",7
103,South Park is Gay!,"October 22, 2003",708,104,The men and boys of town become metrosexual.,"['Timmy Burch', 'Linda Stotch', 'Butters Stotch', 'Craig Tucker', 'Stan Marsh', 'Mr. Slave', 'Thomas Tucker', 'Herbert Garrison', 'Mrs. Tweak', 'Queer Eye for the Straight Guy', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Ryan Valmer', 'Sarah Valmer', 'Stuart McCormick', 'Clyde Donovan', 'Kenny McCormick', 'Jason White', 'Jimbo Kern', 'Officer Barbrady', 'Crab People', 'Token Black', 'Sharon Marsh', 'Gerald Broflovski', 'Skeeter', 'Sheila Broflovski', 'Richard Tweak', 'Tweek Tweak']",7
104,Christian Rock Hard,"October 29, 2003",709,105,"Cartman, Token, and Butters form a Christian music band. Stan, Kyle, and Kenny learn about downloading free music off the Internet.","['Sheila Broflovski', 'Butters Stotch', 'Token Black', 'Michael Collins', 'Britney Spears', 'Federal Bureau of Investigation', 'Kenny McCormick', 'Randy Marsh', 'Harrison Yates', 'Kyle Broflovski', 'Eric Cartman', 'Stan Marsh']",7
105,Grey Dawn,"November 5, 2003",710,106,"The elderly have their driver's licenses taken away, against which the AARP retaliates.","['Herbert Garrison', 'Marvin Marsh', 'Sharon Marsh', 'American Association of Retired Persons (AARP)', 'Bill Stewart', 'Gerald Broflovski', 'Kenny McCormick', 'Randy Marsh', 'Father Maxi', 'Kyle Broflovski', 'Eric Cartman', 'Officer Barbrady', 'Stan Marsh']",7
106,Casa Bonita,"November 12, 2003",711,107,"Cartman tries to get himself invited to Kyle's birthday party at Casa Bonita, a Disneyland-like Mexican restaurant.","['Stephen Stotch', 'Sheila Broflovski', 'Irene', 'Butters Stotch', 'Linda Stotch', 'Mr. Dog', 'Kenny McCormick', 'Harrison Yates', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Stan Marsh']",7
107,All About Mormons,"November 19, 2003",712,108,"Stan befriends a boy and his family, who are all Mormons.","['Shelly Marsh', 'Butters Stotch', 'Gary Harrison', 'Craig Tucker', 'Amanda Harrison', 'Stan Marsh', 'Lucy Harris', 'Herbert Garrison', 'Mrs. Harrison', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Clyde Donovan', 'Dave Harrison', 'Kenny McCormick', 'Joseph Smith', 'Token Black', 'Moroni', 'Martin Harris', 'Sharon Marsh', 'Jenny Harrison']",7
108,Butt Out,"December 3, 2003",713,109,The town calls in Rob Reiner to combat the spread of smoking among children after the boys are caught doing so.,"['Mr. Slave', 'Sheila Broflovski', 'Mr. Mackey', 'Herbert Garrison', 'Sharon Marsh', 'Liane Cartman', 'Gerald Broflovski', 'Kenny McCormick', 'Principal Victoria', 'Kevin Harris', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Rob Reiner', 'Stan Marsh']",7
109,Raisins,"December 10, 2003",714,110,"The boys take Stan to Raisins, a Hooters-like restaurant after Wendy breaks up with him. Butters meets a girl who seems interested in him.","['Porsche', 'Butters Stotch', 'Linda Stotch', 'Pete', 'Mercedes', 'Lexus Martin', 'Maury', 'Wendy Testaburger', 'Stan Marsh', 'Stephen Stotch', 'Bebe Stevens', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Harriet Biggle', 'Ferrari', 'Kenny McCormick', 'Henrietta Biggle', 'Michael']",7
110,It's Christmas in Canada,"December 17, 2003",715,111,Kyle and the boys fly to Canada during Christmastime to see the Canadian Prime Minister after Ike's biological parents take him back to Canada.,"['Sheila Broflovski', 'Herbert Garrison', 'Canadian Door Guard', 'French Canadian Mime', 'Liane Cartman', 'Mayor McDaniels', 'Kenny McCormick', 'Tuong Lu Kim', 'Saddam Hussein', 'Randy Marsh', 'Ike Broflovski', 'Kyle Broflovski', 'Eric Cartman', 'Rick the Mountie', 'Steve (Canadian)', 'Scott the Dick', 'Stan Marsh']",7
111,Good Times with Weapons,"March 17, 2004",801,112,The boys buy weapons at a fair and imagine themselves as anime characters.,"['Butters Stotch', 'Linda Stotch', 'Roger', 'Craig Tucker', 'Dr. Doctor', 'Stan Marsh', 'Herbert Garrison', 'Mayor McDaniels', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Clyde Donovan', 'Kenny McCormick', 'Token Black', 'Gerald Broflovski', 'Nurse Jillian', 'Skeeter', 'Sheila Broflovski']",8
112,Up the Down Steroid,"March 24, 2004",803,113,Jimmy uses steroids to cheat in the Special Olympics. Cartman disguises himself as being mentally retarded to win the prize.,"['Timmy Burch', 'Mr. Mackey', 'Nathan', 'Mark McGwire', 'Liane Cartman', 'Crippled Girl with Brown Hair', 'Michael (Special Ed)', 'Barry Bonds', 'Kenny McCormick', 'Sarah Valmer', 'Nancy', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Ryan Valmer', 'Stan Marsh']",8
113,The Passion of the Jew,"March 31, 2004",804,114,Kyle develops feelings of anti-Semitism after watching Mel Gibson's The Passion of the Christ.,"['Sheila Broflovski', 'Liane Cartman', 'Jack Garrett', 'Gerald Broflovski', 'Kenny McCormick', 'Mel Gibson', 'Elise Garrett', 'Father Maxi', 'Kyle Broflovski', 'Eric Cartman', 'Stan Marsh']",8
114,You Got F'd in the A,"April 7, 2004",805,115,Stan must form a dance group to compete against rivals from Orange County in a spoof of You Got Served.,"['Porsche', 'Butters Stotch', 'Linda Stotch', 'Pete', 'Mercedes', 'Dr. Doctor', 'Maury', 'Stan Marsh', 'Jeffy', 'Herbert Garrison', 'The Orange County Crew Coach', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Kenny McCormick', 'Jimbo Kern', 'Henrietta Biggle', 'Sharon Marsh', 'Skeeter', 'Yao', 'Michael']",8
115,AWESOM-O,"April 14, 2004",802,116,Cartman pretends to be a robot so he can hear private secrets from Butters.,"['Stephen Stotch', 'Justin Timberlake', 'Pentagon Commander', 'Butters Stotch', 'Linda Stotch', 'Millie Larsen', 'A.W.E.S.O.M.-O 4000', 'Liane Cartman', 'Nellie Stotch', 'Budd Stotch', 'Kenny McCormick', 'Kyle Broflovski', 'Eric Cartman', 'Adam Sandler', 'Stan Marsh']",8
116,The Jeffersons,"April 21, 2004",807,117,All the children want to be friends with a rich new neighbor who is under investigation by the police.,"['Stephen Stotch', 'Sheila Broflovski', 'Maggie Yates', 'Sgt. Snetzl', 'Michael Jackson', 'Blanket Jackson', 'Red McArthur', 'Sharon Marsh', 'Gerald Broflovski', 'Kenny McCormick', 'Mitch Murphy', 'Craig Tucker', 'Randy Marsh', 'Harrison Yates', 'Kyle Broflovski', 'Eric Cartman', 'Stan Marsh']",8
117,Goobacks,"April 28, 2004",806,118,The town becomes angry when immigrants from the year 3045 arrive and take the residents' jobs for lower wages.,"['Timmy Burch', 'Darryl Weathers', 'Brad Morgan', 'Future Humans', 'Craig Tucker', 'Aaron Brown', 'Stan Marsh', 'Chris Holt', 'Herbert Garrison', 'Chet', 'Harrison Moore', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Aging Hippie Liberal Douche', 'Kenny McCormick', 'Jimbo Kern', 'Christina Nylon', 'Sharon Marsh']",8
118,Douche and Turd,"October 27, 2004",808,119,Stan is forced to vote in an election for the school's new mascot.,"['Butters Stotch', 'Shelly Marsh', 'Red McArthur', 'Giant Douche', 'Principal Victoria', 'Stan Marsh', 'Herbert Garrison', 'Mayor McDaniels', 'Turd Sandwich', 'Bebe Stevens', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Clyde Donovan', 'Mr. Mackey', 'Mandy', 'Kenny McCormick', 'Sharon Marsh', 'Jim Lehrer', 'Wendy Testaburger', 'P. Diddy']",8
119,Something Wall-Mart This Way Comes,"November 3, 2004",809,120,"When a Wall-Mart store comes to South Park, all the independent stores go out of business.","['Sheila Broflovski', 'Butters Stotch', 'Herbert Garrison', 'Shelly Marsh', 'Marvin Marsh', 'Sharon Marsh', 'Harvey Brown', 'Mr. Farkle', 'Gerald Broflovski', 'Kenny McCormick', 'Wall-Mart', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Jimbo Kern', 'Jimmy Valmer', 'Stan Marsh']",8
120,Pre-School,"November 10, 2004",810,121,A face from the past causes trouble for the boys.,"['Stephen Stotch', 'Clyde Donovan', 'Sheila Broflovski', 'Butters Stotch', 'The 6th Graders', 'Shelly Marsh', 'Linda Stotch', 'Miss Claridge', 'Kenny McCormick', 'Dr. Doctor', 'Kyle Broflovski', 'Eric Cartman', 'Trent Boyett', 'Stan Marsh']",8
121,Quest for Ratings,"November 17, 2004",811,122,The boys' school news show is in competition against a rival television program created by Craig.,"['Mr. Slave', 'Clyde Donovan', 'Butters Stotch', 'Token Black', 'Herbert Garrison', 'Mr. Meryl', 'Pete', 'Kenny McCormick', 'Principal Victoria', 'Craig Tucker', 'Bebe Stevens', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Tweek Tweak', 'Stan Marsh']",8
122,Stupid Spoiled Whore Video Playset,"December 1, 2004",812,123,Wendy feels left out when all the fourth grade girls start acting like Paris Hilton.,"['Kevin Stoley', 'Butters Stotch', 'Linda Stotch', 'Mr. Testaburger', 'Tweek Tweak', 'Frog King', 'Bill Allen', 'Craig Tucker', 'Kelly Pinkerton-Tinfurter', 'Francis', 'Jessie', 'Stan Marsh', 'Stephen Stotch', 'Mr. Slave', 'Esther', 'Kelly Rutherford-Menskin', 'Millie Larsen', 'Herbert Garrison', 'Stupid Spoiled Whore Teenage Girls', 'Mrs. Stevens', 'Bebe Stevens', 'Kyle Broflovski', 'Eric Cartman', 'Randy Marsh', 'Chamber of Commerce Representative', 'Mrs. Testaburger', 'Tinkerbell', 'Clyde Donovan', 'Annie Knitts', 'Sally Turner', 'Kenny McCormick', 'Kal', 'Jason White', 'Token Black', 'Stupid Spoiled Whore Store Owner', 'Mr. Stevens', 'Paris Hilton', 'Wendy Testaburger']",8
123,Cartman's Incredible Gift,"December 8, 2004",813,124,Cartman gains paranormal powers and uses them to become a psychic detective for hire.,"['Clyde Donovan', 'Michael Deets', 'Chris Swollenballs', 'Butters Stotch', 'Token Black', 'Tom Johannsen', 'Liane Cartman', 'Mitch Murphy', 'Kenny McCormick', 'Dr. Doctor', 'Harrison Yates', 'Jim Brown-ish', 'Kyle Broflovski', 'Eric Cartman', 'Stan Marsh']",8
124,Woodland Critter Christmas,"December 15, 2004",814,125,"Stan helps the Woodland Critters, who await the birth of their savior.","['Mountain Lion', 'Ted (Planned Parenthood Doctor)', 'Clyde Donovan', 'Butters Stotch', 'Token Black', 'Herbert Garrison', 'Mountain Lion Cubs', 'Santa Claus', 'Woodland Critters', 'Kenny McCormick', 'Kyle Broflovski', 'Eric Cartman', 'Stan Marsh']",8
125,Mr. Garrison's Fancy New Vagina,"March 9, 2005",901,126,"A sex change turns Mr. Garrison into ""Mrs. Garrison"".","['Jason White', 'Mr. Slave', 'Ted (Planned Parenthood Doctor)', 'Sheila Broflovski', 'Clyde Donovan', 'Herbert Garrison', 'Butters Stotch', 'Gerald Broflovski', 'Kenny McCormick', 'Craig Tucker', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Dr. Biber', 'Stan Marsh']",9
126,"Die Hippie, Die","March 16, 2005",902,127,"Cartman seeks to rid South Park of its growing hippie population. Stan, Kyle, and Kenny become more like hippies.","['Stephen Stotch', 'Sheila Broflovski', 'Mr. Mackey', 'Butters Stotch', 'Linda Stotch', 'Herbert Garrison', 'Sharon Marsh', 'Mayor McDaniels', 'Gerald Broflovski', 'Kenny McCormick', 'Principal Victoria', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Jimbo Kern', 'Officer Barbrady', 'Stan Marsh']",9
127,Wing,"March 23, 2005",903,128,The boys start a talent agency in hopes of making money from Token.,"['Token Black', 'Herbert Garrison', 'Wing Han Tsang', 'Manuelo Furnanda', 'Kenny McCormick', 'Tuong Lu Kim', 'Principal Victoria', 'Kyle Broflovski', 'Eric Cartman', 'Don Heisman', 'Sylvester Stallone', 'Stan Marsh']",9
128,Best Friends Forever,"March 30, 2005",904,129,"Kenny is killed by heaven after becoming master of the PSP, but the town brings him back to life; leaving him in a persistent vegetative state.","['Carol McCormick', 'Stuart McCormick', 'Satan', 'Herbert Garrison', 'Officer Foley', 'Liane Cartman', 'Archangel Michael', 'Kenny McCormick', 'Skeeter', 'Dr. Doctor', 'Kyle Broflovski', 'Eric Cartman', 'Stan Marsh']",9
129,The Losing Edge,"April 6, 2005",905,130,The boys try to lose their baseball games on purpose so they can avoid playing all summer. Randy gets into training to fight the other fathers at the games.,"['Butters Stotch', 'Tom Nelson', 'Craig Tucker', 'Morgan Pratt', 'Stan Marsh', 'Stephen Stotch', 'Kyle Schwartz', 'Allen Varcas', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Clyde Donovan', 'Chris Swollenballs', 'Roger Donovan', 'Kenny McCormick', 'Brian (Greeley Little League Batter)', 'Tom Pusslicker', 'Token Black', 'Sharon Marsh', 'Gerald Broflovski', 'Sheila Broflovski', 'Richard Tweak']",9
130,The Death of Eric Cartman,"April 13, 2005",906,131,"The kids of South Park agree to ignore Cartman, leading him to think that he is dead.","['Tom Pusslicker', 'Stephen Stotch', 'Clyde Donovan', 'Chris Swollenballs', 'Kevin Stoley', 'Butters Stotch', 'Token Black', 'Linda Stotch', 'Doctor Lindsay', 'Sharon Marsh', 'Liane Cartman', 'Kenny McCormick', 'Craig Tucker', 'Harrison Yates', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Stan Marsh']",9
131,Erection Day,"April 20, 2005",907,132,Jimmy starts getting erections and worries about performing in the school talent show.,"['Butters Stotch', 'Red McArthur', 'Principal Victoria', 'Stan Marsh', 'Millie Larsen', 'Herbert Garrison', 'Nut Gobbler', 'Ike Broflovski', 'Kyle Broflovski', 'Eric Cartman', 'Ryan Valmer', 'Jimmy Valmer', 'Sarah Valmer', 'Clyde Donovan', 'Mr. Mackey', 'Kenny McCormick', 'Officer Barbrady', 'Q-Money', 'Dr. Pal', 'Liane Cartman']",9
132,Two Days Before the Day After Tomorrow,"October 19, 2005",908,133,A state of emergency is declared in South Park after it is announced that global warming is coming.,"['Tom Pusslicker', 'Stephen Stotch', 'Sheila Broflovski', 'Thomas Tucker', 'Mr. Mackey', 'Butters Stotch', 'Chet', 'Sharon Marsh', 'Gerald Broflovski', 'Kenny McCormick', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Jimbo Kern', 'Officer Barbrady', 'Stan Marsh']",9
133,Marjorine,"October 26, 2005",909,134,"Butters is forced to fake his own death in order to snoop in on the girls' sleepover as Marjorine, the new girl.","['Kevin Stoley', 'Butters Stotch', 'Linda Stotch', 'Officer Foley', 'Craig Tucker', 'Thomas Turner', 'Stan Marsh', 'Stephen Stotch', 'Herbert Garrison', 'Bradley Biggle', 'Bebe Stevens', 'Kyle Broflovski', 'Eric Cartman', 'Ted (Planned Parenthood Doctor)', 'Clyde Donovan', 'Nancy Turner', 'Kenny McCormick', 'Kal', 'Rachel', 'Jason White', 'Old Farmer', 'Heidi Turner', 'Father Maxi', 'Wendy Testaburger']",9
134,Follow That Egg!,"November 2, 2005",910,135,"After learning Mr. Slave will marry Big Gay Al, Mrs. Garrison vows to stop same-sex marriage from being approved. A project involving an egg makes Stan and Kyle into rivals.","['Mr. Slave', 'Timmy Burch', 'Jakartha', 'Herbert Garrison', 'Heidi Turner', 'Father Maxi', 'Bill Owens', 'Kenny McCormick', 'Bebe Stevens', 'Big Gay Al', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Wendy Testaburger', 'Stan Marsh']",9
135,Ginger Kids,"November 9, 2005",911,136,"Cartman suffers from a mysterious and sudden onset of the 'disease' Gingervitis. He then starts a campaign to give children in his assumed position ""more than equal"" rights.","['Clyde Donovan', 'Chris Swollenballs', 'Token Black', 'Butters Stotch', 'Herbert Garrison', 'Betsy Donovan', 'Liane Cartman', 'Kenny McCormick', 'Craig Tucker', 'The Foley Kids', 'Dr. Doctor', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Gary Nelson', 'Stan Marsh']",9
136,Trapped in the Closet,"November 16, 2005",912,137,"Stan looks to a new religion for answers. Tom Cruise, R. Kelly, and John Travolta lock themselves in Stan's closet.","['Chris Swollenballs', 'R. Kelly', 'Mr. Mackey', 'Shelly Marsh', 'Marvin Marsh', 'Xenu', 'Sharon Marsh', 'John Travolta', 'Nicole Kidman', 'Kenny McCormick', 'Tom Cruise', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Stan Marsh']",9
137,Free Willzyx,"November 30, 2005",913,138,"A ""talking"" whale inspires the boys to risk everything to ""return him to his family on the moon"".","['Timmy Burch', 'Butters Stotch', 'Officer Foley', 'Betsy Donovan', 'Craig Tucker', 'Vladimir Putin', 'Stan Marsh', 'Brian (Sea Park Announcer)', 'Harrison Yates', 'Kyle Broflovski', 'Eric Cartman', 'Jambu', 'Jimmy Valmer', 'Clyde Donovan', 'Chris Swollenballs', 'Kenny McCormick', 'Tom Pusslicker', 'Token Black', 'Mike (Sea Park Announcer)', 'Denver Sea Park Security Guard', 'Sheila Broflovski', 'Tweek Tweak']",9
138,Bloody Mary,"December 7, 2005",914,139,Randy's drinking problem reaches its peak. A Virgin Mary statue in a neighboring town begins to bleed from its rectum.,"['Pope Benedict XVI', 'Chris Swollenballs', 'Shelly Marsh', 'Herbert Garrison', 'Officer Foley', 'Karate Instructor', 'Kenny McCormick', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Stan Marsh']",9
139,The Return of Chef,"March 22, 2006",1001,140,"Chef leaves South Park to join the ""Super Adventure Club"". When he returns, the boys notice there's something wrong with him.","['Dr. Neeland', 'Clyde Donovan', 'Mr. Mackey', 'Butters Stotch', 'Blaze', 'Detective Jarvis', 'Mayor McDaniels', 'Gerald Broflovski', 'Kenny McCormick', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Jimbo Kern', 'DJ Hippo', 'Stan Marsh']",10
140,Smug Alert!,"March 29, 2006",1002,141,"Stan persuades everyone in town to buy hybrid cars, not realizing the new cars cause a different kind of dangerous emission.","['Darryl Weathers', 'Butters Stotch', 'Ranger McFriendly', 'Paul McDonahue', 'Laura Tucker', 'Craig Tucker', 'Stan Marsh', 'Stephen Stotch', 'Herbert Garrison', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Clyde Donovan', 'George Clooney', 'Mr. Mackey', 'Keenan Williams', 'Kenny McCormick', 'Jimbo Kern', 'Brian Thompson-Jarvis', 'Token Black', 'Gerald Broflovski', 'Sheila Broflovski', 'Richard Tweak']",10
141,Cartoon Wars Part I,"April 5, 2006",1003,142,The town is in panic when Family Guy angers the Muslim world by attempting to air an image of Mohammed. Kyle agrees to help Cartman have the next uncensored episode pulled.,"['Shelly Marsh', 'Linda Stotch', 'Butters Stotch', 'Principal Victoria', 'Stan Marsh', 'Stephen Stotch', 'Dylan and Sarah', 'Mayor McDaniels', 'Ike Broflovski', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Muhammad', 'Mr. Mackey', 'Kenny McCormick', 'Jimbo Kern', 'Tom Pusslicker', 'Sharon Marsh', 'Gerald Broflovski', 'George W. Bush', 'Sheila Broflovski', 'Wendy Testaburger']",10
142,Cartoon Wars Part II,"April 12, 2006",1004,143,Cartman meets with the president of FOX in an attempt to cancel Family Guy.,"['Peter Griffin', 'Jesus Christ', 'Osama bin Laden', 'Gary Coleman', 'Kenny McCormick', 'Bart Simpson', 'George W. Bush', 'Kyle Broflovski', 'Eric Cartman', 'Muhammad']",10
143,A Million Little Fibers,"April 19, 2006",1005,144,"Broke and needing to pay for his rent, Towelie gets high and decides to publish his memoirs. However, every time he gets high, something goes wrong.","['Geraldo Rivera', 'Oprah Winfrey', 'Kenny McCormick', 'Larry King', 'Eric Cartman']",10
144,ManBearPig,"April 26, 2006",1006,145,"Al Gore gets the boys trapped in the Cave Of The Winds while trying to kill the purported ""Manbearpig"".","['Mr. Mackey', 'Butters Stotch', 'Kenny McCormick', 'Al Gore', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Stan Marsh']",10
145,Tsst,"May 3, 2006",1007,146,"When Cartman's mom realizes she can't control her son anymore, she gets help from an expert.","['Mr. Mackey', 'Butters Stotch', 'Stella Reid', 'Nanny Skexis', 'Liane Cartman', 'Kenny McCormick', 'Cesar Millan', 'Craig Tucker', 'Jo Frost', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Stan Marsh']",10
146,"Make Love, Not Warcraft","October 4, 2006",1008,147,"The boys dedicate their lives to defeat a mad gamer, and save the World of Warcraft.","['Jason White', 'Jenkins', 'Timmy Burch', 'Clyde Donovan', 'Butters Stotch', 'Token Black', 'Sharon Marsh', 'Liane Cartman', 'Kenny McCormick', 'Craig Tucker', 'Peter Nelson', 'Randy Marsh', 'Ike Broflovski', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Tweek Tweak', 'Stan Marsh']",10
147,Mystery of the Urinal Deuce,"October 11, 2006",1009,148,"Cartman ""discovers"" the true culprit behind the 9/11 attacks. Mr. Mackey is determined to find out who defecated in the urinal at South Park Elementary.","['Butters Stotch', 'Principal Victoria', 'Fenton Hardly', 'Stan Marsh', 'Herbert Garrison', 'Richard Adler', 'Dick Cheney', 'Harrison Yates', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Hardly Boys', 'Clyde Donovan', 'Mr. Mackey', 'Roger Donovan', 'Kenny McCormick', 'Peter Mullen', 'Jimbo Kern', 'Skeeter', 'George W. Bush', 'Sheila Broflovski', 'Richard Tweak', 'Donald Rumsfeld', '911 Truth Webmaster']",10
148,Miss Teacher Bangs a Boy,"October 18, 2006",1010,149,"A South Park Elementary School teacher is conducting an illicit affair with a student. As the new School Hallway Monitor, Cartman takes it personally when an infraction is committed in his jurisdiction.","['Filmore Anderson', 'Sheila Broflovski', 'Mr. Mackey', 'Butters Stotch', 'Officer Foley', 'Mitch Murphy', 'Kenny McCormick', 'Principal Victoria', 'Harrison Yates', 'Ike Broflovski', 'Kyle Broflovski', 'Eric Cartman', 'Randy Marsh', 'Jimbo Kern', 'Ms. Stevenson', 'Stan Marsh']",10
149,Hell on Earth 2006,"October 25, 2006",1011,150,"Satan decides to throw a big party on Earth, but has trouble deciding who to invite. He wants to invite lots of celebrities that are alive, but is running out of room for his friends.","['George Burns', 'Butters Stotch', 'Linda Stotch', 'Christopher Wallace', 'Demonius', 'Stan Marsh', 'Stephen Stotch', 'Satan', 'Zazul', 'Frank Sinatra', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Steve Irwin', 'Bakery Napoleon Bakers', 'Adolf Hitler', 'Kenny McCormick', 'Jeffrey Dahmer', 'John Wayne Gacy', 'Cardinal Roger Mahony', 'Diana, Princess of Wales', 'Mahatma Gandhi', 'Ted Bundy', 'Tweek Tweak']",10
150,Go God Go,"November 1, 2006",1012,151,"Cartman, unable to wait for the Nintendo Wii, freezes himself until it is released. After an avalanche he becomes trapped and wakes up in the future. Ms. Garrison meets Richard Dawkins.","['Mr. Mackey', 'Butters Stotch', 'Linda Stotch', 'Linda Triscotti', 'Allied Atheist Alliance (AAA)', 'Liane Cartman', 'Mr. and Mrs. Triscotti', 'Kenny McCormick', 'Principal Victoria', 'Kyle Broflovski', 'Eric Cartman', 'Richard Dawkins', 'Stan Marsh']",10
151,Go God Go XII,"November 8, 2006",1013,152,Cartman tries to escape from the future while the war rages on between the Atheist factions.,"['Herbert Garrison', 'Butters Stotch', 'Allied Atheist Alliance (AAA)', 'K-10', 'KOK-A-3', 'Kenny McCormick', 'Kyle Broflovski', 'Eric Cartman', 'KIT-9', 'Richard Dawkins']",10
152,Stanley's Cup,"November 15, 2006",1014,153,Stan's bike is towed that he needs for his paper route. To get it back he is forced to coach a pee-wee hockey team.,"['Eric Cartman', 'Sharon Marsh', 'Stan Marsh', 'Mr. and Mrs. Brown', 'Kenny McCormick', 'Nelson Brown', 'Dr. Doctor', 'Randy Marsh', 'Kyle Broflovski', 'Detroit Red Wings', 'Gavin Throttle', 'Mr. Jarvis']",10
153,With Apologies to Jesse Jackson,"March 7, 2007",1101,154,Randy says n*ggers on Wheel of Fortune and Cartman gets into a fight with a midget.,"['Butters Stotch', 'Jesse Jackson', 'Principal Victoria', 'Craig Tucker', 'Stan Marsh', 'Michael Richards', 'Stephen Stotch', 'Coyote Brown', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Mackey', 'Kenny McCormick', 'Mark Fuhrman', 'Jimbo Kern', 'Dr. David Nelson', 'Token Black', 'Sharon Marsh', 'Pat Sajak', 'Hillbilly Brigade']",11
154,Cartman Sucks,"March 14, 2007",1102,155,"Cartman pulls his ""best trick ever"" on Butters and gets him put in a special camp where they ""pray the gay away"".","['Stephen Stotch', 'Clyde Donovan', 'Sheila Broflovski', 'Mr. Mackey', 'Butters Stotch', 'Linda Stotch', 'Herbert Garrison', 'Liane Cartman', 'Kenny McCormick', 'Bebe Stevens', 'Harrison Yates', 'Father Maxi', 'Kyle Broflovski', 'Eric Cartman', 'Stan Marsh']",11
155,Lice Capades,"March 21, 2007",1103,156,A hair lice infection hits South Park Elementary. Can Clyde hide his terrible discovery from the others?,"['Travis Mayfield', 'Angelina Jolie', 'Clyde Donovan', 'Vice President Greg', 'Butters Stotch', 'Token Black', 'Herbert Garrison', 'Girl with Ear Infection', 'Rita Struthers', 'Kenny McCormick', 'Kelly Mayfield', 'Craig Tucker', 'Bebe Stevens', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Stan Marsh']",11
156,The Snuke,"March 28, 2007",1104,157,Hillary Clinton's campaign rally arrives in town. Cartman suspects a terrorist threat from the new Muslim student.,"['Brian Jeffries', 'George W. Bush', 'Butters Stotch', 'Queen Elizabeth II', 'Mr. Hakeem', 'Frank Waters', 'Vladimir Stolfsky', 'Mayor McDaniels', 'Kenny McCormick', 'Principal Victoria', 'Baahir Hassan Abdul Hakeem', 'Hillary Clinton', 'Mrs. Hakeem', 'Kyle Broflovski', 'Eric Cartman', 'Officer Barbrady', 'Stan Marsh']",11
157,Fantastic Easter Special,"April 4, 2007",1105,158,Stan wonders how Easter Eggs and Jesus dying on the cross are linked. He soon falls in with an eccentric society guarding a timeless secret.,"['Professor Teabag', 'Pope Benedict XVI', 'Jesus Christ', 'Bill Donohue', 'Marvin Marsh', 'Sharon Marsh', 'Kenny McCormick', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Snowball', 'Stan Marsh']",11
